model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,390.6,108.0,-410.68,12.51,0.44,2392
dqn,TRAIN,1,387.3,229.2,-405.18,12.76,0.44,2344
dqn,TRAIN,2,367.9,305.6,-365.99,11.54,0.44,2349
dqn,TRAIN,3,363.0,335.8,-373.09,11.87,0.43,2328
dqn,TRAIN,4,398.3,345.4,-466.02,14.31,0.46,2098
dqn,TRAIN,5,353.9,409.7,-337.93,10.54,0.43,2475
dqn,TRAIN,6,373.8,428.3,-355.37,11.20,0.45,2421
dqn,TRAIN,7,387.3,409.2,-418.54,13.10,0.45,2236
dqn,TRAIN,8,378.9,418.0,-362.16,11.06,0.44,2518
dqn,TRAIN,9,333.1,416.9,-313.31,9.78,0.41,2532
dqn,TRAIN,10,330.8,417.4,-314.97,9.73,0.41,2540
dqn,TRAIN,11,336.6,406.0,-319.99,9.86,0.42,2455
dqn,TRAIN,12,321.5,396.7,-296.80,9.20,0.41,2543
dqn,TRAIN,13,368.5,386.5,-359.15,11.08,0.43,2468
dqn,TRAIN,14,375.8,392.7,-372.13,11.57,0.43,2447
dqn,TRAIN,15,365.5,390.4,-346.81,10.75,0.43,2539
dqn,TRAIN,16,332.2,396.8,-320.13,9.85,0.41,2499
dqn,TRAIN,17,272.8,386.2,-230.33,7.08,0.39,2621
dqn,TRAIN,18,319.2,366.1,-292.67,9.06,0.41,2535
dqn,TRAIN,19,317.5,333.9,-286.88,8.69,0.41,2558
