model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,257.6,90.9,-267.51,7.84,0.45,2991
dqn,TRAIN,1,205.2,131.8,-172.96,5.31,0.44,3178
dqn,TRAIN,2,192.9,114.7,-164.35,4.97,0.42,3193
dqn,TRAIN,3,195.8,100.1,-165.18,4.89,0.42,3187
dqn,TRAIN,4,200.0,93.1,-170.11,5.10,0.42,3097
dqn,TRAIN,5,191.7,87.9,-159.17,4.69,0.41,3131
dqn,TRAIN,6,195.6,83.2,-170.38,5.03,0.42,3194
dqn,TRAIN,7,192.5,79.9,-159.64,4.71,0.41,3173
dqn,TRAIN,8,188.9,76.7,-157.60,4.64,0.41,3125
dqn,TRAIN,9,192.1,74.0,-159.83,4.73,0.42,3147
dqn,TRAIN,10,190.3,72.2,-155.78,4.62,0.41,3177
dqn,TRAIN,11,192.2,69.7,-156.66,4.64,0.41,3119
dqn,TRAIN,12,186.5,68.1,-156.03,4.57,0.41,3158
dqn,TRAIN,13,193.7,68.3,-161.81,4.81,0.41,3201
dqn,TRAIN,14,189.8,65.5,-154.72,4.54,0.40,3077
dqn,TRAIN,15,191.7,61.6,-156.44,4.59,0.40,3077
dqn,TRAIN,16,192.1,61.1,-162.71,4.79,0.41,3097
dqn,TRAIN,17,191.3,59.9,-164.03,4.82,0.41,3137
dqn,TRAIN,18,189.5,59.8,-153.50,4.51,0.40,3061
dqn,TRAIN,19,191.9,59.5,-162.75,4.73,0.40,3040
