model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,172.2,17.3,-83.36,2.49,0.29,1905
dqn,TRAIN,1,153.2,13.6,-55.96,1.82,0.27,1908
dqn,TRAIN,2,149.3,13.2,-53.94,1.75,0.26,1915
dqn,TRAIN,3,147.7,13.2,-54.58,1.71,0.26,1909
dqn,TRAIN,4,148.6,13.1,-52.98,1.69,0.26,1925
dqn,TRAIN,5,148.9,12.8,-54.75,1.72,0.26,1927
dqn,TRAIN,6,147.3,12.9,-52.47,1.65,0.26,1915
dqn,TRAIN,7,147.2,12.3,-53.45,1.69,0.25,1919
dqn,TRAIN,8,142.8,12.1,-51.38,1.61,0.25,1919
dqn,TRAIN,9,144.5,12.2,-51.18,1.61,0.25,1921
dqn,TRAIN,10,142.4,11.9,-49.82,1.57,0.25,1914
dqn,TRAIN,11,145.6,11.7,-50.47,1.59,0.25,1920
dqn,TRAIN,12,143.4,11.8,-50.60,1.60,0.25,1921
dqn,TRAIN,13,147.1,12.0,-53.06,1.67,0.26,1925
dqn,TRAIN,14,141.8,11.4,-48.79,1.52,0.25,1923
dqn,TRAIN,15,142.2,11.2,-50.79,1.59,0.25,1912
dqn,TRAIN,16,144.1,10.9,-51.94,1.60,0.25,1921
dqn,TRAIN,17,149.6,10.8,-54.51,1.70,0.26,1920
dqn,TRAIN,18,144.8,10.5,-50.94,1.59,0.25,1923
dqn,TRAIN,19,142.7,10.4,-50.05,1.55,0.25,1904
