lane_id,queueing_time,queueing_length,timestep
-102818928#0_0,0.0,0.0,47160.0
-102818928#0_0,0.0,0.0,47520.0
-102818928#0_0,0.0,0.0,47880.0
-102818928#0_0,5.0,10.081,48240.0
-102818928#0_0,0.0,0.0,48600.0
-102818928#0_0,0.0,0.0,48960.0
-102818928#0_0,0.0,0.0,49320.0
-102818928#0_0,0.0,0.0,49680.0
-102818928#0_0,1.3333333333333333,11.184444444444445,50040.0
-102818928#0_0,0.0,0.0,50400.0
-102818928#1_0,0.0,0.0,47160.0
-102818928#1_0,4.071428571428571,1.707857142857143,47520.0
-102818928#1_0,0.0,0.0,47880.0
-102818928#1_0,0.0,0.0,48240.0
-102818928#1_0,0.0,0.0,48600.0
-102818928#1_0,1.0,1.14,48960.0
-102818928#1_0,4.5,1.3227777777777776,49320.0
-102818928#1_0,2.5,1.705,49680.0
-102818928#1_0,3.1333333333333333,2.04,50040.0
-102818928#1_0,3.5,1.5792857142857142,50400.0
-103053774#0_0,2.0,3.76375,47160.0
-103053774#0_0,0.0,0.0,47520.0
-103053774#0_0,0.0,0.0,47880.0
-103053774#0_0,0.0,0.0,48240.0
-103053774#0_0,0.0,0.0,48600.0
-103053774#0_0,0.0,0.0,48960.0
-103053774#0_0,0.0,0.0,49320.0
-103053774#0_0,0.0,0.0,49680.0
-103053774#0_0,0.0,0.0,50040.0
-103053774#0_0,0.0,0.0,50400.0
-103512657_0,0.0,0.0,47160.0
-103512657_0,0.0,0.0,47520.0
-103512657_0,2.1666666666666665,4.376666666666666,47880.0
-103512657_0,0.0,0.0,48240.0
-103512657_0,0.0,0.0,48600.0
-103512657_0,4.583333333333333,5.005,48960.0
-103512657_0,6.066666666666666,5.202,49320.0
-103512657_0,2.4,4.832,49680.0
-103512657_0,0.0,0.0,50040.0
-103512657_0,0.0,0.0,50400.0
-103512667#0_1,0.0,0.0,47160.0
-103512667#0_1,0.0,0.0,47520.0
-103512667#0_1,0.0,0.0,47880.0
-103512667#0_1,0.0,0.0,48240.0
-103512667#0_1,16.52777777777778,5.666944444444444,48600.0
-103512667#0_1,0.0,0.0,48960.0
-103512667#0_1,0.0,0.0,49320.0
-103512667#0_1,0.0,0.0,49680.0
-103512667#0_1,0.0,0.0,50040.0
-103512667#0_1,0.0,0.0,50400.0
-103512667#2_1,0.0,0.0,47160.0
-103512667#2_1,0.0,0.0,47520.0
-103512667#2_1,0.0,0.0,47880.0
-103512667#2_1,0.0,0.0,48240.0
-103512667#2_1,0.0,0.0,48600.0
-103512667#2_1,0.0,0.0,48960.0
-103512667#2_1,0.0,0.0,49320.0
-103512667#2_1,1.2857142857142858,3.654285714285714,49680.0
-103512667#2_1,0.0,0.0,50040.0
-103512667#2_1,0.5,2.55,50400.0
-103512672_0,0.5,2.565,47160.0
-103512672_0,0.0,0.0,47520.0
-103512672_0,0.0,0.0,47880.0
-103512672_0,0.0,0.0,48240.0
-103512672_0,0.0,0.0,48600.0
-103512672_0,0.0,0.0,48960.0
-103512672_0,0.0,0.0,49320.0
-103512672_0,0.0,0.0,49680.0
-103512672_0,0.0,0.0,50040.0
-103512672_0,0.0,0.0,50400.0
-103671267#0_0,0.0,0.0,47160.0
-103671267#0_0,0.0,0.0,47520.0
-103671267#0_0,0.0,0.0,47880.0
-103671267#0_0,0.0,0.0,48240.0
-103671267#0_0,0.0,0.0,48600.0
-103671267#0_0,0.0,0.0,48960.0
-103671267#0_0,0.0,0.0,49320.0
-103671267#0_0,0.0,0.0,49680.0
-103671267#0_0,0.0,0.0,50040.0
-103671267#0_0,0.0,0.0,50400.0
-103671267#6_0,0.0,0.0,47160.0
-103671267#6_0,0.0,0.0,47520.0
-103671267#6_0,0.0,0.0,47880.0
-103671267#6_0,0.0,0.0,48240.0
-103671267#6_0,0.0,0.0,48600.0
-103671267#6_0,0.0,0.0,48960.0
