robust_morning_1,robust_morning_2,robust_morning_3,robust_morning_4,robust_morning_5,robust_evening_1,robust_pse_1,robust_sensor
186.2,263.2,165.1,368.3,527.5,181.5,239.3,251.5
178.5,212.3,157.4,265.5,378.0,177.5,213.2,201.3
1.0,9.0,1.0,19.0,16.0,1.0,4.0,4.0
4.14,19.34,4.66,27.91,28.34,2.2,10.91,19.96
