robust_evening_1,robust_morning_1,robust_morning_2,robust_morning_3,robust_morning_4,robust_morning_5,robust_pse_1,robust_sensor
8.04,5.82,15.47,6.49,18.72,22.97,6.78,38.54
3.0,1.0,7.0,1.0,12.0,14.33,3.0,12.33
