robust_morning_1,robust_morning_2,robust_morning_3,robust_morning_4,robust_morning_5,robust_evening_1,robust_pse_1,robust_sensor
169.9,196.7,160.0,253.2,360.5,167.9,190.8,199.5
159.5,178.8,148.2,222.9,320.8,158.0,190.2,178.3
1.0,7.0,1.0,7.0,8.0,1.0,1.0,4.0
6.12,9.1,7.38,11.97,11.01,5.9,0.31,10.63
