case,dqn,colight,mplight
1,152.4,159.5,178.5
2,175.6,178.8,212.3
3,141.8,148.2,157.4
4,219.3,222.9,265.5
5,272.8,320.8,378.0
6,156.3,158.0,177.5
7,186.5,190.2,213.2
8,179.1,178.3,201.7
