case,dqn,colight,mplight
1,164.2,169.9,186.2
2,214.1,196.7,263.2
3,153.2,160.0,165.1
4,261.9,253.2,368.3
5,387.3,360.5,527.5
6,186.1,167.9,181.5
7,205.2,190.8,239.3
8,279.3,199.5,653.2
