model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,90,391.9,0.5,-354.89,7.03,0.16,7845
colight,TRAIN,91,399.2,0.4,-337.24,6.80,0.16,8055
colight,TRAIN,92,393.0,0.4,-358.45,7.02,0.16,8032
colight,TRAIN,93,407.6,0.4,-362.10,7.14,0.16,8128
colight,TRAIN,94,396.6,0.4,-326.90,6.71,0.16,8192
colight,TRAIN,95,407.4,0.5,-334.78,6.77,0.16,8258
colight,TRAIN,96,387.3,0.4,-370.02,7.37,0.16,7967
colight,TRAIN,97,403.0,0.4,-366.84,7.35,0.17,7935
colight,TRAIN,98,400.4,0.4,-351.32,7.09,0.16,8156
colight,TRAIN,99,392.1,0.4,-339.21,6.91,0.16,8189
