model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,532.4,71.9,-587.84,10.46,0.20,6206
dqn,TRAIN,1,403.4,85.1,-427.34,7.15,0.16,6824
dqn,TRAIN,2,378.4,90.7,-378.32,6.58,0.15,7008
dqn,TRAIN,3,364.7,86.6,-365.55,6.36,0.14,7175
dqn,TRAIN,4,350.6,82.2,-320.63,5.50,0.13,7364
dqn,TRAIN,5,331.3,75.3,-344.11,5.76,0.14,7136
dqn,TRAIN,6,406.5,72.8,-310.79,5.23,0.13,7643
dqn,TRAIN,7,350.7,73.5,-250.85,4.18,0.12,8214
dqn,TRAIN,8,337.5,69.8,-284.85,4.52,0.12,7879
dqn,TRAIN,9,358.2,68.1,-264.82,4.30,0.12,8081
