model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,560.1,85.2,-631.53,11.15,0.21,6626
dqn,TRAIN,1,415.5,90.7,-489.96,8.11,0.17,7729
dqn,TRAIN,2,387.3,75.0,-460.10,7.37,0.16,7837
dqn,TRAIN,3,366.4,67.0,-443.48,6.96,0.15,7975
dqn,TRAIN,4,439.9,62.5,-416.63,6.62,0.15,8557
dqn,TRAIN,5,346.0,65.1,-282.71,4.79,0.13,9537
dqn,TRAIN,6,391.3,64.7,-278.64,5.00,0.14,9347
dqn,TRAIN,7,354.1,63.1,-260.06,4.65,0.13,9526
dqn,TRAIN,8,359.1,59.7,-261.19,4.69,0.13,9545
dqn,TRAIN,9,350.8,54.5,-247.19,4.32,0.13,9791
