model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,660.3,0.0,-602.91,11.23,0.21,7417
dqn,TRAIN,1,665.6,0.0,-559.32,10.73,0.20,7511
dqn,TRAIN,2,613.0,81.8,-651.37,12.27,0.22,6546
dqn,TRAIN,3,721.2,52.5,-808.71,14.00,0.25,4629
dqn,TRAIN,4,548.1,94.5,-541.55,9.58,0.21,6862
dqn,TRAIN,5,502.2,122.9,-596.35,9.66,0.20,7175
dqn,TRAIN,6,435.2,134.8,-480.38,8.03,0.17,8065
dqn,TRAIN,7,455.8,127.7,-485.00,7.83,0.16,8561
dqn,TRAIN,8,437.9,122.5,-454.29,7.48,0.16,8563
dqn,TRAIN,9,425.9,114.1,-404.93,6.69,0.15,8896
dqn,TRAIN,10,401.0,109.6,-352.74,5.68,0.14,8897
dqn,TRAIN,11,362.2,104.0,-288.32,4.60,0.13,9456
dqn,TRAIN,12,348.8,98.8,-246.54,4.27,0.13,9595
dqn,TRAIN,13,335.5,95.2,-234.01,4.17,0.12,9441
dqn,TRAIN,14,344.7,91.4,-225.41,4.01,0.12,9563
dqn,TRAIN,15,328.4,84.5,-227.51,4.00,0.12,9564
dqn,TRAIN,16,335.1,82.1,-234.02,4.25,0.12,9352
dqn,TRAIN,17,322.7,77.4,-229.06,4.04,0.12,9334
dqn,TRAIN,18,316.0,70.6,-218.46,3.82,0.11,9577
dqn,TRAIN,19,324.4,62.0,-211.85,3.74,0.11,9542
dqn,TRAIN,20,315.1,53.1,-202.50,3.62,0.11,9629
dqn,TRAIN,21,314.1,48.6,-208.73,3.60,0.11,9502
dqn,TRAIN,22,317.1,45.5,-199.19,3.51,0.11,9561
dqn,TRAIN,23,313.5,42.1,-190.40,3.39,0.11,9594
dqn,TRAIN,24,312.1,34.9,-189.67,3.31,0.11,9566
dqn,TRAIN,25,313.4,29.2,-192.72,3.35,0.11,9520
dqn,TRAIN,26,311.4,25.3,-197.56,3.38,0.11,9698
dqn,TRAIN,27,310.7,23.4,-193.87,3.41,0.10,9500
dqn,TRAIN,28,339.3,21.0,-184.81,3.35,0.11,9624
dqn,TRAIN,29,310.6,19.8,-184.63,3.22,0.10,9657
dqn,TRAIN,30,310.0,19.3,-186.40,3.30,0.10,9642
