model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,478.9,58.6,-444.03,7.54,0.17,6780
dqn,TRAIN,1,372.1,58.7,-263.55,4.46,0.12,7599
dqn,TRAIN,2,365.0,49.7,-239.84,3.93,0.12,8529
dqn,TRAIN,3,302.7,48.7,-181.47,3.27,0.10,8382
dqn,TRAIN,4,292.3,39.7,-180.41,3.07,0.10,8487
dqn,TRAIN,5,298.5,34.2,-173.40,3.01,0.10,8479
dqn,TRAIN,6,295.5,29.9,-174.71,2.96,0.10,8550
dqn,TRAIN,7,293.4,28.6,-178.38,2.99,0.10,8468
dqn,TRAIN,8,293.2,26.5,-169.85,2.86,0.09,8491
dqn,TRAIN,9,289.0,25.5,-170.48,2.83,0.09,8512
