model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,412.4,336.4,-337.08,12.11,0.51,2287
colight,TRAIN,1,199.5,223.6,-116.98,4.23,0.39,2353
colight,TRAIN,2,194.0,152.7,-109.79,3.94,0.38,2336
colight,TRAIN,3,194.4,125.9,-109.91,3.98,0.37,2345
colight,TRAIN,4,191.9,111.5,-109.62,3.85,0.38,2370
colight,TRAIN,5,187.9,120.0,-105.20,3.78,0.37,2375
colight,TRAIN,6,185.8,108.2,-101.23,3.69,0.37,2374
colight,TRAIN,7,189.1,96.9,-105.49,3.82,0.38,2357
colight,TRAIN,8,183.1,77.8,-96.73,3.59,0.36,2387
colight,TRAIN,9,185.3,84.2,-101.09,3.63,0.37,2382
colight,TRAIN,10,179.3,78.3,-96.73,3.43,0.37,2355
colight,TRAIN,11,181.9,79.4,-96.97,3.49,0.37,2368
colight,TRAIN,12,179.3,78.0,-96.49,3.46,0.36,2378
colight,TRAIN,13,180.0,80.6,-93.97,3.38,0.37,2373
colight,TRAIN,14,179.1,77.6,-95.95,3.43,0.37,2362
colight,TRAIN,15,190.9,65.8,-102.49,3.74,0.37,2373
colight,TRAIN,16,182.3,69.3,-101.07,3.66,0.36,2350
colight,TRAIN,17,183.2,59.3,-97.88,3.57,0.37,2379
colight,TRAIN,18,184.5,60.2,-100.95,3.71,0.36,2356
colight,TRAIN,19,178.3,62.0,-95.02,3.47,0.36,2357
