model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,199.7,60.4,-133.71,3.81,0.35,2370
colight,TRAIN,1,167.9,36.9,-88.79,2.58,0.31,2368
colight,TRAIN,2,166.4,32.0,-81.48,2.39,0.32,2353
colight,TRAIN,3,159.3,29.7,-73.02,2.17,0.30,2370
colight,TRAIN,4,162.5,27.9,-75.97,2.26,0.31,2378
colight,TRAIN,5,164.1,27.1,-77.95,2.34,0.31,2377
colight,TRAIN,6,165.6,28.0,-78.03,2.34,0.31,2369
colight,TRAIN,7,164.5,25.8,-75.52,2.27,0.31,2378
colight,TRAIN,8,162.9,25.4,-73.21,2.18,0.30,2383
colight,TRAIN,9,164.8,25.5,-75.21,2.26,0.31,2375
colight,TRAIN,10,160.1,26.3,-72.25,2.17,0.30,2391
colight,TRAIN,11,164.5,24.4,-75.12,2.25,0.31,2374
colight,TRAIN,12,163.0,23.5,-73.64,2.24,0.30,2369
colight,TRAIN,13,163.5,23.5,-77.25,2.34,0.31,2374
colight,TRAIN,14,165.3,24.0,-75.73,2.31,0.31,2384
colight,TRAIN,15,161.3,23.6,-70.09,2.12,0.30,2383
colight,TRAIN,16,161.2,23.2,-71.24,2.16,0.31,2376
colight,TRAIN,17,158.0,22.7,-71.71,2.15,0.29,2377
colight,TRAIN,18,162.1,22.7,-71.72,2.15,0.31,2375
colight,TRAIN,19,158.7,22.8,-70.74,2.11,0.29,2385
