model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,250.2,225.0,-277.01,7.70,0.46,3069
colight,TRAIN,1,190.8,151.3,-165.07,4.72,0.41,3188
colight,TRAIN,2,202.4,131.4,-179.99,5.28,0.43,3195
colight,TRAIN,3,195.1,125.7,-168.72,4.95,0.42,3204
colight,TRAIN,4,192.9,129.7,-162.85,4.78,0.42,3210
colight,TRAIN,5,195.1,141.5,-161.26,4.80,0.42,3202
colight,TRAIN,6,191.4,132.5,-158.07,4.64,0.42,3192
colight,TRAIN,7,196.6,125.9,-166.83,4.94,0.42,3153
colight,TRAIN,8,190.9,132.9,-157.92,4.65,0.41,3196
colight,TRAIN,9,192.2,121.9,-164.81,4.83,0.41,3186
colight,TRAIN,10,196.9,107.7,-164.52,4.99,0.42,3189
colight,TRAIN,11,196.2,109.3,-161.54,4.86,0.42,3176
colight,TRAIN,12,197.4,111.2,-161.57,4.88,0.43,3184
colight,TRAIN,13,195.7,116.3,-162.56,4.92,0.42,3204
colight,TRAIN,14,190.2,117.1,-148.10,4.46,0.41,3191
colight,TRAIN,15,191.9,128.5,-150.92,4.60,0.42,3180
colight,TRAIN,16,200.8,119.2,-169.77,5.13,0.42,3192
colight,TRAIN,17,198.0,116.6,-161.52,4.94,0.42,3168
colight,TRAIN,18,193.2,121.6,-156.91,4.80,0.42,3187
colight,TRAIN,19,194.8,126.2,-156.44,4.76,0.42,3161
