model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,268.0,59.9,-244.65,7.28,0.39,2340
colight,TRAIN,1,236.7,56.5,-190.51,6.12,0.37,2343
colight,TRAIN,2,273.3,79.5,-213.78,7.39,0.38,2330
colight,TRAIN,3,224.3,102.3,-169.58,5.44,0.38,2359
colight,TRAIN,4,213.7,85.1,-159.28,5.09,0.37,2364
colight,TRAIN,5,212.5,128.8,-157.76,4.94,0.38,2366
colight,TRAIN,6,219.1,133.7,-161.41,5.07,0.39,2385
colight,TRAIN,7,200.4,216.2,-141.11,4.44,0.38,2365
colight,TRAIN,8,209.1,213.9,-149.80,4.73,0.39,2375
colight,TRAIN,9,193.5,173.6,-132.07,4.17,0.38,2370
colight,TRAIN,10,185.9,180.4,-120.62,3.79,0.37,2382
colight,TRAIN,11,187.9,167.2,-120.75,3.83,0.37,2384
colight,TRAIN,12,193.4,147.5,-122.91,3.94,0.38,2369
colight,TRAIN,13,188.4,147.8,-117.86,3.76,0.37,2396
colight,TRAIN,14,186.2,142.5,-114.01,3.67,0.37,2390
colight,TRAIN,15,175.0,115.8,-103.69,3.27,0.36,2391
colight,TRAIN,16,179.0,76.9,-104.28,3.32,0.36,2390
colight,TRAIN,17,168.9,68.7,-94.56,2.98,0.35,2394
colight,TRAIN,18,165.9,56.4,-90.44,2.85,0.34,2400
colight,TRAIN,19,162.8,54.7,-86.73,2.73,0.33,2397
colight,TRAIN,20,170.1,51.4,-90.35,2.84,0.34,2392
colight,TRAIN,21,170.5,45.5,-91.80,2.95,0.34,2398
colight,TRAIN,22,169.0,45.9,-89.10,2.86,0.34,2390
colight,TRAIN,23,167.2,44.3,-90.20,2.80,0.33,2409
colight,TRAIN,24,163.7,46.0,-87.81,2.71,0.33,2405
colight,TRAIN,25,164.0,51.8,-87.49,2.75,0.33,2398
colight,TRAIN,26,165.5,49.4,-89.12,2.78,0.33,2393
colight,TRAIN,27,169.6,47.5,-92.28,2.91,0.33,2391
colight,TRAIN,28,165.8,70.2,-88.34,2.70,0.33,2390
