model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,270.4,175.6,-209.83,6.18,0.37,2220
colight,TRAIN,1,253.2,227.0,-188.70,5.63,0.36,2216
colight,TRAIN,2,232.9,187.2,-164.99,4.69,0.35,2222
colight,TRAIN,3,265.1,196.0,-197.97,5.79,0.35,2210
colight,TRAIN,4,316.7,254.5,-255.96,7.48,0.38,2225
colight,TRAIN,5,227.1,252.8,-162.19,4.71,0.33,2220
colight,TRAIN,6,238.3,244.0,-171.78,5.01,0.33,2224
colight,TRAIN,7,227.7,215.4,-155.97,4.65,0.34,2240
colight,TRAIN,8,230.1,239.7,-156.07,4.75,0.34,2227
colight,TRAIN,9,243.3,214.7,-173.15,5.23,0.35,2209
colight,TRAIN,10,229.9,201.0,-157.28,4.64,0.35,2236
colight,TRAIN,11,222.9,199.7,-152.51,4.47,0.34,2227
colight,TRAIN,12,223.5,206.0,-152.04,4.46,0.34,2217
colight,TRAIN,13,235.6,225.9,-161.90,4.80,0.35,2227
colight,TRAIN,14,224.4,201.4,-154.93,4.50,0.34,2244
colight,TRAIN,15,232.7,214.8,-158.11,4.77,0.34,2231
colight,TRAIN,16,224.3,205.8,-152.60,4.51,0.34,2244
colight,TRAIN,17,227.3,200.3,-153.49,4.65,0.34,2225
colight,TRAIN,18,237.3,189.7,-164.32,4.99,0.34,2224
colight,TRAIN,19,235.0,197.6,-166.58,4.91,0.34,2234
