model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
colight,TRAIN,0,164.2,26.5,-78.41,2.32,0.29,1922
colight,TRAIN,1,160.0,27.0,-67.35,2.08,0.28,1911
colight,TRAIN,2,155.6,23.4,-62.01,1.93,0.28,1910
colight,TRAIN,3,157.4,22.5,-64.58,2.01,0.28,1919
colight,TRAIN,4,152.2,23.5,-60.22,1.82,0.27,1910
colight,TRAIN,5,156.8,25.1,-63.36,1.92,0.28,1919
colight,TRAIN,6,152.8,25.9,-60.29,1.83,0.27,1920
colight,TRAIN,7,151.9,24.6,-58.99,1.82,0.27,1917
colight,TRAIN,8,151.6,24.2,-59.43,1.81,0.27,1919
colight,TRAIN,9,152.3,25.1,-58.05,1.78,0.27,1921
colight,TRAIN,10,151.4,25.9,-57.37,1.77,0.27,1912
colight,TRAIN,11,149.0,23.0,-57.61,1.75,0.27,1923
colight,TRAIN,12,150.2,24.2,-59.00,1.79,0.27,1920
colight,TRAIN,13,150.1,24.3,-57.44,1.75,0.27,1915
colight,TRAIN,14,149.1,28.0,-58.05,1.74,0.26,1906
colight,TRAIN,15,150.7,26.4,-57.79,1.76,0.26,1912
colight,TRAIN,16,150.3,25.3,-59.29,1.78,0.26,1909
colight,TRAIN,17,153.4,24.8,-61.19,1.83,0.27,1910
colight,TRAIN,18,148.2,25.9,-57.57,1.73,0.26,1914
colight,TRAIN,19,153.5,24.1,-59.70,1.81,0.27,1914
