lane_id,queueing_time,queueing_length,timestep
np10_nt15_0,3.3157894736842106,4.341052631578948,360.0
np10_nt15_0,45.75,8.432115384615384,720.0
np10_nt15_0,61.13793103448276,8.084827586206897,1080.0
np10_nt15_0,0.0,0.0,1440.0
np10_nt15_0,16.06451612903226,2.56758064516129,1800.0
np10_nt15_0,36.10460251046025,14.456861924686192,2160.0
np10_nt15_0,41.893416927899686,21.90667711598746,2520.0
np10_nt15_0,14.646153846153846,18.181128205128203,2880.0
np10_nt15_0,32.025,33.629562500000006,3240.0
np10_nt15_0,18.27848101265823,15.788481012658227,3600.0
np11_nt14_0,20.01298701298701,5.786493506493507,360.0
np11_nt14_0,5.445945945945946,3.300675675675676,720.0
np11_nt14_0,35.006024096385545,10.099578313253012,1080.0
np11_nt14_0,27.285714285714285,2.2905714285714285,1440.0
np11_nt14_0,13.174496644295303,3.69744966442953,1800.0
np11_nt14_0,29.08108108108108,31.02195945945946,2160.0
np11_nt14_0,82.64556962025317,10.139746835443038,2520.0
np11_nt14_0,18.69060773480663,7.0398342541436465,2880.0
np11_nt14_0,51.34104046242775,14.030404624277457,3240.0
np11_nt14_0,18.155038759689923,6.272248062015504,3600.0
np12_nt13_0,16.253968253968253,2.27,360.0
np12_nt13_0,15.657894736842104,5.370526315789474,720.0
np12_nt13_0,1.6666666666666667,3.341111111111111,1080.0
np12_nt13_0,2.1,1.8,1440.0
np12_nt13_0,44.304964539007095,15.260744680851063,1800.0
np12_nt13_0,46.221739130434784,8.79604347826087,2160.0
np12_nt13_0,26.06,6.3901,2520.0
np12_nt13_0,81.97979797979798,15.019696969696971,2880.0
np12_nt13_0,49.733333333333334,10.113888888888889,3240.0
np12_nt13_0,0.7142857142857143,1.7142857142857142,3600.0
np13_nt13_0,0.3333333333333333,1.33,360.0
np13_nt13_0,4.25,5.1466071428571425,720.0
np13_nt13_0,1.1578947368421053,1.827894736842105,1080.0
np13_nt13_0,52.83606557377049,9.637704918032787,1440.0
np13_nt13_0,146.92395437262357,15.36916349809886,1800.0
np13_nt13_0,76.58687258687259,31.94104247104247,2160.0
np13_nt13_0,36.104838709677416,21.134193548387096,2520.0
np13_nt13_0,34.674698795180724,11.635903614457831,2880.0
np13_nt13_0,7.355555555555555,5.201888888888889,3240.0
np13_nt13_0,6.790697674418604,10.030155038759691,3600.0
np13_nt13_1,0.0,0.0,360.0
np13_nt13_1,0.0,0.0,720.0
np13_nt13_1,10.043478260869565,4.738695652173914,1080.0
np13_nt13_1,0.0,0.0,1440.0
np13_nt13_1,0.0,0.0,1800.0
np13_nt13_1,0.0,0.0,2160.0
np13_nt13_1,0.0,0.0,2520.0
np13_nt13_1,0.0,0.0,2880.0
np13_nt13_1,0.0,0.0,3240.0
np13_nt13_1,0.0,0.0,3600.0
np14_nt9_0,3.604651162790698,5.324069767441861,360.0
np14_nt9_0,26.215686274509803,11.72985294117647,720.0
np14_nt9_0,37.74342105263158,12.314671052631578,1080.0
np14_nt9_0,51.66315789473684,14.548947368421052,1440.0
np14_nt9_0,142.01111111111112,44.39394444444444,1800.0
np14_nt9_0,135.45277777777778,49.67177777777778,2160.0
np14_nt9_0,168.45,69.02936111111111,2520.0
np14_nt9_0,202.275,64.93147222222223,2880.0
np14_nt9_0,173.30833333333334,63.48338888888889,3240.0
np14_nt9_0,120.7,67.63530555555555,3600.0
np14_nt9_1,1.4285714285714286,1.4914285714285715,360.0
np14_nt9_1,15.0,4.839032258064516,720.0
np14_nt9_1,0.0,0.0,1080.0
np14_nt9_1,34.8780487804878,16.45048780487805,1440.0
np14_nt9_1,163.3361111111111,25.66583333333333,1800.0
np14_nt9_1,97.39303482587064,29.142587064676615,2160.0
np14_nt9_1,265.13055555555553,50.652166666666666,2520.0
np14_nt9_1,249.46685878962535,45.66089337175792,2880.0
np14_nt9_1,234.13611111111112,61.37238888888889,3240.0
np14_nt9_1,175.0408163265306,68.75830903790089,3600.0
np15_nt5_0,12.5,5.448157894736842,360.0
np15_nt5_0,4.5,5.868846153846154,720.0
np15_nt5_0,2.302325581395349,2.4365116279069765,1080.0
np15_nt5_0,10.36111111111111,4.376805555555555,1440.0
np15_nt5_0,32.88732394366197,2.469647887323944,1800.0
np15_nt5_0,39.85964912280702,17.599999999999998,2160.0
np15_nt5_0,30.226277372262775,4.948321167883211,2520.0
np15_nt5_0,24.826589595375722,7.497803468208092,2880.0
np15_nt5_0,44.983333333333334,9.218388888888889,3240.0
np15_nt5_0,5.568627450980392,3.1054901960784314,3600.0
np15_nt5_1,14.5,2.2,360.0
np15_nt5_1,27.228571428571428,2.6952857142857147,720.0
np15_nt5_1,33.51578947368421,8.422894736842105,1080.0
np15_nt5_1,59.57847533632287,7.837130044843049,1440.0
np15_nt5_1,38.467213114754095,4.854590163934426,1800.0
np15_nt5_1,0.0,0.0,2160.0
np15_nt5_1,36.1992337164751,4.859923371647509,2520.0
np15_nt5_1,0.0,0.0,2880.0
np15_nt5_1,74.58227848101266,10.70892405063291,3240.0
np15_nt5_1,7.902439024390244,3.631707317073171,3600.0
np16_nt1_0,0.1,0.601,360.0
np16_nt1_0,90.592,5.90416,720.0
np16_nt1_0,16.0,3.9490196078431374,1080.0
np16_nt1_0,3.1739130434782608,10.472608695652173,1440.0
np16_nt1_0,25.43859649122807,8.836491228070175,1800.0
np16_nt1_0,9.24,5.0408,2160.0
np16_nt1_0,30.706521739130434,17.248315217391305,2520.0
np16_nt1_0,9.63888888888889,8.073055555555555,2880.0
np16_nt1_0,12.36111111111111,5.553055555555556,3240.0
