model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,524.9,nan,-77.70,25.57,0.51,1323
mplight,TRAIN,1,527.5,2.9,-76.54,25.43,0.52,1310
mplight,TRAIN,2,402.2,3.1,-62.15,21.08,0.49,1432
mplight,TRAIN,3,444.0,2.9,-57.15,19.11,0.47,1646
mplight,TRAIN,4,429.3,3.0,-52.69,17.85,0.47,1710
mplight,TRAIN,5,389.2,3.2,-57.32,19.69,0.47,1564
mplight,TRAIN,6,433.2,3.3,-66.95,22.70,0.50,1337
mplight,TRAIN,7,501.5,3.4,-66.06,22.53,0.49,1440
mplight,TRAIN,8,415.9,3.8,-56.21,19.20,0.47,1585
mplight,TRAIN,9,432.1,3.8,-57.93,19.85,0.48,1589
mplight,TRAIN,10,459.1,3.9,-57.27,19.39,0.48,1674
mplight,TRAIN,11,440.7,4.2,-51.29,18.00,0.47,1738
mplight,TRAIN,12,416.5,4.4,-65.72,22.24,0.49,1462
mplight,TRAIN,13,443.0,4.3,-63.26,21.48,0.49,1588
mplight,TRAIN,14,378.0,4.4,-53.78,18.51,0.47,1665
mplight,TRAIN,15,407.1,4.7,-39.43,13.77,0.45,2172
mplight,TRAIN,16,396.6,4.7,-52.11,17.53,0.48,1775
mplight,TRAIN,17,386.0,4.5,-56.71,19.33,0.47,1564
mplight,TRAIN,18,461.9,4.6,-51.10,17.40,0.46,1826
mplight,TRAIN,19,446.0,4.9,-61.99,20.92,0.49,1516
