model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,258.5,nan,-26.89,8.16,0.45,2812
mplight,TRAIN,1,239.3,3.1,-21.94,6.98,0.44,2856
mplight,TRAIN,2,228.8,3.0,-21.88,6.79,0.44,2983
mplight,TRAIN,3,233.0,2.9,-22.64,7.04,0.46,3007
mplight,TRAIN,4,230.9,3.0,-21.90,6.80,0.44,2957
mplight,TRAIN,5,229.0,3.0,-21.22,6.65,0.45,2971
mplight,TRAIN,6,228.9,3.0,-21.60,6.68,0.44,3006
mplight,TRAIN,7,216.7,3.0,-19.51,6.16,0.43,2974
mplight,TRAIN,8,215.5,2.8,-19.79,6.22,0.43,3023
mplight,TRAIN,9,222.1,2.6,-19.83,6.22,0.43,2918
mplight,TRAIN,10,224.0,2.5,-21.15,6.61,0.44,2999
mplight,TRAIN,11,223.1,2.7,-21.43,6.76,0.44,3031
mplight,TRAIN,12,221.9,2.8,-20.67,6.48,0.43,2997
mplight,TRAIN,13,222.9,2.8,-20.43,6.44,0.44,2992
mplight,TRAIN,14,213.2,2.7,-19.61,6.18,0.43,3064
mplight,TRAIN,15,215.0,2.6,-19.65,6.11,0.43,2978
mplight,TRAIN,16,219.9,2.6,-20.86,6.45,0.43,3030
mplight,TRAIN,17,219.0,2.5,-20.57,6.42,0.44,3024
mplight,TRAIN,18,218.5,2.4,-20.21,6.24,0.43,2979
mplight,TRAIN,19,216.2,2.3,-19.36,6.05,0.43,2957
