model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,445.5,nan,-46.65,15.63,0.44,1521
mplight,TRAIN,1,368.3,2.5,-40.83,13.64,0.42,1524
mplight,TRAIN,2,295.8,2.6,-21.29,7.24,0.38,2083
mplight,TRAIN,3,348.4,2.3,-27.78,9.74,0.39,1902
mplight,TRAIN,4,295.6,2.4,-21.33,7.40,0.37,2046
mplight,TRAIN,5,317.9,2.4,-36.02,12.28,0.41,1550
mplight,TRAIN,6,440.2,2.7,-34.21,11.99,0.42,1824
mplight,TRAIN,7,301.1,2.9,-21.30,7.43,0.39,2079
mplight,TRAIN,8,309.5,2.7,-23.76,8.26,0.38,1995
mplight,TRAIN,9,310.6,2.6,-22.82,7.84,0.37,2140
mplight,TRAIN,10,305.8,2.7,-22.70,7.93,0.39,2035
mplight,TRAIN,11,405.1,2.8,-32.74,11.49,0.41,1871
mplight,TRAIN,12,412.6,3.2,-34.68,12.08,0.41,1788
mplight,TRAIN,13,281.1,3.3,-19.86,6.69,0.37,2182
mplight,TRAIN,14,356.2,3.1,-26.87,9.42,0.40,1958
mplight,TRAIN,15,265.5,3.0,-18.43,6.27,0.36,2195
mplight,TRAIN,16,327.7,3.0,-37.34,12.94,0.40,1525
mplight,TRAIN,17,277.2,3.2,-20.46,6.82,0.37,2096
mplight,TRAIN,18,383.7,3.2,-34.01,11.88,0.40,1756
mplight,TRAIN,19,307.5,3.2,-23.75,8.37,0.38,1962
