model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,353.6,nan,-34.71,10.82,0.44,2168
mplight,TRAIN,1,314.6,0.5,-29.30,9.26,0.44,2240
mplight,TRAIN,2,370.0,0.4,-36.24,11.53,0.45,2139
mplight,TRAIN,3,320.9,0.6,-30.55,9.58,0.44,2194
mplight,TRAIN,4,319.8,0.7,-29.10,9.24,0.44,2234
mplight,TRAIN,5,306.5,0.7,-28.38,9.04,0.43,2206
mplight,TRAIN,6,322.1,0.9,-30.22,9.59,0.43,2225
mplight,TRAIN,7,339.8,1.0,-31.80,10.21,0.43,2207
mplight,TRAIN,8,337.5,1.1,-31.33,9.97,0.44,2247
mplight,TRAIN,9,304.6,1.2,-28.84,9.10,0.42,2216
mplight,TRAIN,10,296.5,1.2,-26.14,8.50,0.42,2261
mplight,TRAIN,11,288.9,1.3,-25.02,8.06,0.42,2291
mplight,TRAIN,12,284.7,1.3,-24.42,7.89,0.42,2290
mplight,TRAIN,13,297.8,1.3,-26.54,8.50,0.42,2240
mplight,TRAIN,14,294.3,1.4,-26.09,8.40,0.41,2259
mplight,TRAIN,15,282.6,1.4,-24.72,7.94,0.42,2262
mplight,TRAIN,16,268.5,1.4,-23.09,7.41,0.41,2284
mplight,TRAIN,17,247.1,1.4,-20.98,6.71,0.40,2287
mplight,TRAIN,18,276.8,1.4,-23.85,7.59,0.42,2315
mplight,TRAIN,19,316.7,1.5,-28.22,9.02,0.42,2263
mplight,TRAIN,20,258.2,1.7,-21.81,6.98,0.41,2277
mplight,TRAIN,21,291.9,1.6,-26.11,8.23,0.42,2269
mplight,TRAIN,22,269.4,1.5,-23.81,7.57,0.41,2250
mplight,TRAIN,23,263.0,1.5,-22.53,7.12,0.41,2308
mplight,TRAIN,24,270.4,1.5,-23.09,7.39,0.42,2312
mplight,TRAIN,25,286.5,1.5,-24.65,7.94,0.42,2260
mplight,TRAIN,26,249.9,1.5,-20.48,6.66,0.40,2311
mplight,TRAIN,27,262.5,1.6,-21.86,7.14,0.41,2311
mplight,TRAIN,28,270.5,1.5,-23.26,7.46,0.42,2310
mplight,TRAIN,29,257.0,1.5,-20.59,6.72,0.41,2335
mplight,TRAIN,30,246.7,1.5,-19.90,6.47,0.40,2317
mplight,TRAIN,31,253.9,1.5,-20.56,6.72,0.41,2317
mplight,TRAIN,32,249.9,1.5,-19.72,6.55,0.40,2325
mplight,TRAIN,33,239.2,1.5,-18.73,6.13,0.40,2340
mplight,TRAIN,34,240.9,1.5,-18.83,6.26,0.40,2327
mplight,TRAIN,35,227.7,1.4,-17.12,5.73,0.39,2360
mplight,TRAIN,36,235.7,1.4,-18.34,5.99,0.40,2347
mplight,TRAIN,37,236.1,1.4,-18.08,5.98,0.39,2342
mplight,TRAIN,38,253.0,1.5,-20.58,6.67,0.40,2324
mplight,TRAIN,39,232.3,1.5,-17.44,5.81,0.40,2348
mplight,TRAIN,40,253.4,1.5,-20.27,6.75,0.40,2310
mplight,TRAIN,41,245.8,1.6,-18.71,6.25,0.40,2351
mplight,TRAIN,42,234.7,1.6,-17.96,5.94,0.39,2360
mplight,TRAIN,43,230.8,1.6,-17.31,5.77,0.40,2361
mplight,TRAIN,44,231.5,1.5,-17.20,5.77,0.40,2338
mplight,TRAIN,45,259.9,1.6,-20.68,6.89,0.41,2325
mplight,TRAIN,46,234.3,1.7,-17.69,5.89,0.39,2347
mplight,TRAIN,47,222.6,1.7,-16.81,5.47,0.39,2365
mplight,TRAIN,48,236.6,1.5,-18.65,6.05,0.40,2354
mplight,TRAIN,49,220.6,1.6,-15.91,5.38,0.39,2351
mplight,TRAIN,50,209.4,1.6,-14.61,4.93,0.38,2360
mplight,TRAIN,51,229.5,1.6,-17.26,5.72,0.40,2331
mplight,TRAIN,52,249.6,1.7,-20.05,6.60,0.40,2273
mplight,TRAIN,53,226.5,1.8,-16.83,5.61,0.39,2356
mplight,TRAIN,54,210.1,1.7,-14.73,4.95,0.38,2353
mplight,TRAIN,55,220.1,1.7,-16.22,5.37,0.39,2348
mplight,TRAIN,56,213.2,1.7,-15.23,5.08,0.39,2358
mplight,TRAIN,57,215.6,1.6,-15.14,5.08,0.39,2351
mplight,TRAIN,58,215.9,1.5,-15.46,5.21,0.38,2348
mplight,TRAIN,59,230.7,1.5,-17.08,5.66,0.39,2349
mplight,TRAIN,60,218.9,1.5,-15.75,5.29,0.39,2351
mplight,TRAIN,61,214.6,1.5,-15.61,5.19,0.39,2334
mplight,TRAIN,62,219.0,1.4,-15.60,5.17,0.39,2347
mplight,TRAIN,63,204.7,1.5,-14.18,4.76,0.37,2358
mplight,TRAIN,64,230.4,1.5,-16.85,5.66,0.38,2350
mplight,TRAIN,65,223.0,1.5,-16.26,5.45,0.39,2345
mplight,TRAIN,66,209.9,1.5,-14.49,4.87,0.39,2374
mplight,TRAIN,67,207.1,1.4,-14.51,4.79,0.38,2371
mplight,TRAIN,68,210.5,1.3,-14.79,4.91,0.38,2362
mplight,TRAIN,69,205.7,1.4,-13.72,4.65,0.38,2366
mplight,TRAIN,70,218.4,1.4,-15.50,5.28,0.38,2369
mplight,TRAIN,71,210.3,1.5,-14.40,4.91,0.38,2363
mplight,TRAIN,72,219.4,1.6,-15.42,5.18,0.39,2362
mplight,TRAIN,73,211.1,1.7,-14.79,5.01,0.37,2352
mplight,TRAIN,74,205.3,1.7,-13.92,4.68,0.37,2359
mplight,TRAIN,75,221.1,1.6,-15.18,5.14,0.39,2357
mplight,TRAIN,76,209.2,1.7,-13.92,4.79,0.38,2357
mplight,TRAIN,77,203.8,1.6,-13.71,4.61,0.38,2373
mplight,TRAIN,78,206.6,1.5,-14.17,4.74,0.38,2365
