model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,201.4,nan,-12.97,4.36,0.38,2324
mplight,TRAIN,1,186.2,1.5,-10.94,3.75,0.36,2365
mplight,TRAIN,2,185.1,1.6,-11.03,3.78,0.36,2369
mplight,TRAIN,3,184.3,1.5,-10.83,3.73,0.36,2367
mplight,TRAIN,4,186.5,1.5,-10.85,3.71,0.36,2370
mplight,TRAIN,5,186.2,1.5,-11.06,3.76,0.36,2371
mplight,TRAIN,6,189.5,1.6,-11.35,3.87,0.35,2366
mplight,TRAIN,7,194.8,1.6,-12.04,4.06,0.37,2370
mplight,TRAIN,8,190.6,1.6,-11.39,3.95,0.36,2369
mplight,TRAIN,9,179.6,1.6,-10.33,3.57,0.35,2369
mplight,TRAIN,10,190.9,1.5,-11.39,3.89,0.37,2372
mplight,TRAIN,11,213.5,1.6,-13.81,4.76,0.37,2371
mplight,TRAIN,12,185.0,1.6,-11.15,3.79,0.36,2361
mplight,TRAIN,13,180.0,1.4,-10.31,3.52,0.35,2369
mplight,TRAIN,14,178.5,1.4,-10.17,3.48,0.35,2379
mplight,TRAIN,15,188.7,1.3,-10.85,3.76,0.36,2374
mplight,TRAIN,16,191.4,1.3,-11.25,3.80,0.37,2371
mplight,TRAIN,17,192.4,1.3,-11.44,3.89,0.36,2354
mplight,TRAIN,18,192.9,1.3,-11.66,3.97,0.36,2372
mplight,TRAIN,19,188.2,1.3,-11.20,3.77,0.36,2351
