model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,253.1,nan,-25.48,6.29,0.42,2324
mplight,TRAIN,1,251.5,1.1,-24.74,6.44,0.41,2344
mplight,TRAIN,2,221.3,2.1,-21.19,5.32,0.41,2338
mplight,TRAIN,3,206.9,1.9,-20.13,4.64,0.39,2360
mplight,TRAIN,4,206.7,1.7,-20.01,4.55,0.39,2369
mplight,TRAIN,5,213.9,1.7,-20.79,4.92,0.37,2344
mplight,TRAIN,6,203.9,1.8,-19.55,4.38,0.38,2373
mplight,TRAIN,7,208.1,1.9,-20.09,4.68,0.38,2346
mplight,TRAIN,8,214.5,1.9,-20.86,4.94,0.38,2307
mplight,TRAIN,9,211.8,1.9,-20.42,4.85,0.37,2335
mplight,TRAIN,10,208.5,1.9,-19.97,4.56,0.40,2364
mplight,TRAIN,11,233.5,1.9,-21.98,5.61,0.41,2347
mplight,TRAIN,12,220.2,1.9,-20.65,5.10,0.39,2339
mplight,TRAIN,13,235.4,1.9,-23.89,6.34,0.39,2120
mplight,TRAIN,14,201.3,2.0,-19.34,4.42,0.36,2363
mplight,TRAIN,15,209.8,2.0,-20.21,4.67,0.37,2328
mplight,TRAIN,16,224.9,2.0,-22.10,5.38,0.40,2329
mplight,TRAIN,17,215.7,1.9,-21.02,5.08,0.38,2325
mplight,TRAIN,18,218.0,1.9,-20.93,4.99,0.38,2359
mplight,TRAIN,19,224.3,1.9,-22.01,5.28,0.41,2347
