model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,232.2,nan,-19.84,6.69,0.42,2781
mplight,TRAIN,1,263.2,2.3,-24.52,8.49,0.44,2534
mplight,TRAIN,2,282.3,2.6,-25.55,8.77,0.45,2719
mplight,TRAIN,3,226.5,2.7,-18.70,6.43,0.41,2783
mplight,TRAIN,4,235.3,2.5,-19.41,6.80,0.42,2753
mplight,TRAIN,5,238.3,2.4,-20.42,7.01,0.43,2736
mplight,TRAIN,6,237.6,2.5,-19.61,6.87,0.42,2754
mplight,TRAIN,7,217.5,2.4,-17.33,5.95,0.41,2811
mplight,TRAIN,8,228.0,2.3,-18.30,6.27,0.42,2757
mplight,TRAIN,9,232.6,2.3,-18.83,6.57,0.41,2790
mplight,TRAIN,10,222.9,2.5,-17.59,6.14,0.42,2783
mplight,TRAIN,11,224.0,2.4,-18.25,6.32,0.41,2753
mplight,TRAIN,12,219.4,2.5,-16.91,5.87,0.42,2795
mplight,TRAIN,13,222.3,2.7,-17.37,6.12,0.42,2786
mplight,TRAIN,14,236.2,2.6,-19.13,6.75,0.42,2767
mplight,TRAIN,15,215.3,2.7,-16.80,5.84,0.41,2787
mplight,TRAIN,16,285.3,2.8,-25.13,8.92,0.44,2729
mplight,TRAIN,17,226.7,3.1,-18.40,6.41,0.41,2778
mplight,TRAIN,18,212.3,3.1,-16.80,5.81,0.41,2778
mplight,TRAIN,19,220.0,2.9,-18.31,6.24,0.41,2776
