model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
mplight,TRAIN,0,185.8,nan,-10.64,3.50,0.35,2351
mplight,TRAIN,1,181.5,1.6,-10.30,3.38,0.33,2371
mplight,TRAIN,2,185.6,1.4,-10.58,3.49,0.34,2347
mplight,TRAIN,3,191.2,1.5,-10.93,3.69,0.34,2351
mplight,TRAIN,4,185.3,1.4,-10.34,3.43,0.34,2344
mplight,TRAIN,5,185.5,1.3,-10.42,3.45,0.34,2350
mplight,TRAIN,6,184.1,1.3,-10.44,3.44,0.34,2352
mplight,TRAIN,7,185.2,1.1,-10.53,3.43,0.35,2328
mplight,TRAIN,8,185.9,1.1,-11.25,3.63,0.34,2342
mplight,TRAIN,9,181.1,1.2,-10.39,3.38,0.34,2335
mplight,TRAIN,10,193.8,1.1,-11.83,3.84,0.35,2324
mplight,TRAIN,11,188.6,1.2,-10.95,3.56,0.35,2360
mplight,TRAIN,12,182.5,1.2,-10.20,3.33,0.33,2342
mplight,TRAIN,13,188.8,1.1,-10.64,3.52,0.34,2349
mplight,TRAIN,14,182.6,1.0,-10.63,3.45,0.34,2350
mplight,TRAIN,15,189.4,0.9,-10.63,3.53,0.34,2287
mplight,TRAIN,16,183.9,0.9,-10.62,3.47,0.34,2344
mplight,TRAIN,17,183.5,0.9,-10.48,3.43,0.33,2344
mplight,TRAIN,18,177.5,0.9,-9.59,3.15,0.34,2348
mplight,TRAIN,19,182.8,0.9,-10.30,3.38,0.33,2338
