lane_id,queueing_time,queueing_length,timestep
np10_nt15_0,0.44,1.5859999999999999,360.0
np10_nt15_0,11.594059405940595,9.078118811881188,720.0
np10_nt15_0,8.63265306122449,5.170816326530613,1080.0
np10_nt15_0,4.896551724137931,2.646206896551724,1440.0
np10_nt15_0,1.7209302325581395,1.9927906976744185,1800.0
np10_nt15_0,107.32067510548524,16.264345991561182,2160.0
np10_nt15_0,87.45070422535211,27.317267605633806,2520.0
np10_nt15_0,135.7158774373259,23.353119777158774,2880.0
np10_nt15_0,49.83985765124555,16.723309608540927,3240.0
np10_nt15_0,2.0,4.612,3600.0
np11_nt14_0,6.22972972972973,4.8255405405405405,360.0
np11_nt14_0,18.818181818181817,8.726694214876034,720.0
np11_nt14_0,8.05940594059406,4.639108910891089,1080.0
np11_nt14_0,5.605633802816901,3.2667605633802816,1440.0
np11_nt14_0,6.841269841269841,3.858888888888889,1800.0
np11_nt14_0,21.881818181818183,4.419363636363636,2160.0
np11_nt14_0,2.1481481481481484,4.2337037037037035,2520.0
np11_nt14_0,1.0769230769230769,2.6876923076923074,2880.0
np11_nt14_0,54.35096153846154,12.345192307692306,3240.0
np11_nt14_0,85.95959595959596,12.395858585858587,3600.0
np12_nt13_0,11.459770114942529,2.51816091954023,360.0
np12_nt13_0,8.779411764705882,5.3617647058823525,720.0
np12_nt13_0,10.045454545454545,4.5011363636363635,1080.0
np12_nt13_0,30.762820512820515,6.341730769230769,1440.0
np12_nt13_0,17.574358974358976,5.126871794871795,1800.0
np12_nt13_0,22.658823529411766,5.149294117647059,2160.0
np12_nt13_0,1.1578947368421053,1.803157894736842,2520.0
np12_nt13_0,4.444444444444445,3.3355555555555556,2880.0
np12_nt13_0,8.80232558139535,6.248139534883721,3240.0
np12_nt13_0,6.894117647058824,5.352705882352941,3600.0
np13_nt13_0,4.222222222222222,4.458333333333333,360.0
np13_nt13_0,17.317073170731707,6.330609756097561,720.0
np13_nt13_0,19.058823529411764,4.372117647058824,1080.0
np13_nt13_0,15.17910447761194,5.552835820895523,1440.0
np13_nt13_0,71.78740157480316,5.488818897637795,1800.0
np13_nt13_0,0.0,0.0,2160.0
np13_nt13_0,0.0,0.0,2520.0
np13_nt13_0,3.8636363636363638,4.716363636363636,2880.0
np13_nt13_0,0.4375,1.34125,3240.0
np13_nt13_0,2.625,3.408333333333333,3600.0
np13_nt13_1,0.0,0.0,360.0
np13_nt13_1,0.0,0.0,720.0
np13_nt13_1,41.5,5.928809523809524,1080.0
np13_nt13_1,0.0,0.0,1440.0
np13_nt13_1,0.0,0.0,1800.0
np13_nt13_1,0.0,0.0,2160.0
np13_nt13_1,0.0,0.0,2520.0
np13_nt13_1,0.0,0.0,2880.0
np13_nt13_1,0.0,0.0,3240.0
np13_nt13_1,0.0,0.0,3600.0
np14_nt9_0,2.5454545454545454,2.039090909090909,360.0
np14_nt9_0,1.125,1.93875,720.0
np14_nt9_0,0.0,0.0,1080.0
np14_nt9_0,0.75,0.8624999999999999,1440.0
np14_nt9_0,12.303030303030303,1.9521212121212121,1800.0
np14_nt9_0,3.6551724137931036,3.57,2160.0
np14_nt9_0,0.2,1.022,2520.0
np14_nt9_0,3.2857142857142856,2.4214285714285713,2880.0
np14_nt9_0,19.265625,6.035625,3240.0
np14_nt9_0,20.5,4.979761904761904,3600.0
np14_nt9_1,128.50384615384615,7.731692307692308,360.0
np14_nt9_1,40.77272727272727,3.1424242424242426,720.0
np14_nt9_1,113.0,5.973568281938326,1080.0
np14_nt9_1,181.34234234234233,5.891891891891892,1440.0
np14_nt9_1,150.5,2.600033333333333,1800.0
np14_nt9_1,37.5,5.921184210526316,2160.0
np14_nt9_1,26.669811320754718,6.557641509433962,2520.0
np14_nt9_1,164.5,6.0,2880.0
np14_nt9_1,81.67727272727272,7.9922272727272725,3240.0
np14_nt9_1,70.45882352941176,7.668705882352942,3600.0
np15_nt5_0,11.11111111111111,5.334074074074074,360.0
np15_nt5_0,13.205882352941176,5.3500000000000005,720.0
np15_nt5_0,2.4210526315789473,1.323157894736842,1080.0
np15_nt5_0,8.4,4.0008,1440.0
np15_nt5_0,109.65841584158416,4.73960396039604,1800.0
np15_nt5_0,0.0,0.0,2160.0
np15_nt5_0,0.0,0.0,2520.0
np15_nt5_0,18.80473372781065,8.204260355029586,2880.0
np15_nt5_0,5.59375,4.3365625,3240.0
np15_nt5_0,0.0,0.0,3600.0
np15_nt5_1,0.0,0.0,360.0
np15_nt5_1,0.0,0.0,720.0
np15_nt5_1,0.0,0.0,1080.0
np15_nt5_1,80.5060975609756,4.351829268292684,1440.0
np15_nt5_1,111.82038834951456,9.276747572815534,1800.0
np15_nt5_1,25.51851851851852,5.778333333333332,2160.0
np15_nt5_1,4.583333333333333,5.0025,2520.0
np15_nt5_1,67.65032679738562,7.424901960784314,2880.0
np15_nt5_1,120.09831460674157,11.124185393258427,3240.0
np15_nt5_1,209.0,7.5,3600.0
np16_nt1_0,0.75,1.6025,360.0
np16_nt1_0,42.63291139240506,4.885189873417722,720.0
np16_nt1_0,56.642857142857146,6.801038961038961,1080.0
np16_nt1_0,131.63601532567048,9.637126436781609,1440.0
np16_nt1_0,95.72363636363636,8.246436363636363,1800.0
np16_nt1_0,121.12324929971989,17.130700280112045,2160.0
np16_nt1_0,152.22058823529412,9.951470588235294,2520.0
np16_nt1_0,150.0,3.214318936877077,2880.0
np16_nt1_0,106.5137614678899,11.938944954128441,3240.0
np16_nt1_0,163.96378830083566,15.221922005571031,3600.0
np16_nt1_1,19.5,9.4135,360.0
