lane_id,queueing_time,queueing_length,timestep
np10_nt15_0,37.532188841201716,4.539828326180257,360.0
np10_nt15_0,40.242798353909464,5.505802469135803,720.0
np10_nt15_0,52.85958904109589,13.532054794520548,1080.0
np10_nt15_0,32.519650655021834,11.14170305676856,1440.0
np10_nt15_0,42.48076923076923,15.097961538461538,1800.0
np10_nt15_0,40.01704545454545,14.021363636363635,2160.0
np10_nt15_0,44.610344827586204,14.881620689655172,2520.0
np10_nt15_0,66.05844155844156,13.550227272727273,2880.0
np10_nt15_0,126.08635097493037,18.968857938718664,3240.0
np10_nt15_0,140.18715083798884,23.147905027932964,3600.0
np11_nt14_0,43.66483516483517,11.813846153846153,360.0
np11_nt14_0,32.75,11.998584905660376,720.0
np11_nt14_0,31.72093023255814,16.240348837209304,1080.0
np11_nt14_0,53.12422360248447,24.289006211180126,1440.0
np11_nt14_0,58.191489361702125,15.60758865248227,1800.0
np11_nt14_0,59.779411764705884,24.21076470588235,2160.0
np11_nt14_0,137.54748603351956,20.52603351955307,2520.0
np11_nt14_0,58.636923076923075,27.44643076923077,2880.0
np11_nt14_0,42.453125,13.2099609375,3240.0
np11_nt14_0,26.41358024691358,18.36913580246914,3600.0
np12_nt13_0,45.59504132231405,11.787314049586778,360.0
np12_nt13_0,49.76190476190476,8.614183673469388,720.0
np12_nt13_0,56.1554054054054,11.266891891891891,1080.0
np12_nt13_0,50.906474820143885,11.266546762589927,1440.0
np12_nt13_0,57.646341463414636,18.6200406504065,1800.0
np12_nt13_0,53.56730769230769,13.698878205128207,2160.0
np12_nt13_0,48.17142857142857,13.44957142857143,2520.0
np12_nt13_0,49.969465648854964,9.173664122137405,2880.0
np12_nt13_0,44.962825278810406,17.527211895910778,3240.0
np12_nt13_0,76.7469387755102,16.257714285714286,3600.0
np13_nt13_0,3.5,3.64375,360.0
np13_nt13_0,12.75294117647059,3.6950588235294117,720.0
np13_nt13_0,7.574468085106383,3.6093617021276594,1080.0
np13_nt13_0,10.516129032258064,5.807741935483871,1440.0
np13_nt13_0,10.88888888888889,4.063015873015873,1800.0
np13_nt13_0,2.1,1.8375,2160.0
np13_nt13_0,0.0,0.0,2520.0
np13_nt13_0,13.59375,5.43875,2880.0
np13_nt13_0,13.261538461538462,3.7672307692307694,3240.0
np13_nt13_0,30.08955223880597,44.629701492537315,3600.0
np13_nt13_1,0.0,0.0,360.0
np13_nt13_1,0.0,0.0,720.0
np13_nt13_1,6.5,7.5008333333333335,1080.0
np13_nt13_1,0.0,0.0,1440.0
np13_nt13_1,0.0,0.0,1800.0
np13_nt13_1,0.0,0.0,2160.0
np13_nt13_1,0.0,0.0,2520.0
np13_nt13_1,0.0,0.0,2880.0
np13_nt13_1,0.0,0.0,3240.0
np13_nt13_1,0.0,0.0,3600.0
np14_nt9_0,7.157894736842105,3.1184210526315788,360.0
np14_nt9_0,9.16,8.6128,720.0
np14_nt9_0,1.7777777777777777,2.3872222222222224,1080.0
np14_nt9_0,4.794117647058823,5.587058823529412,1440.0
np14_nt9_0,18.26277372262774,4.825474452554745,1800.0
np14_nt9_0,9.683333333333334,7.0275,2160.0
np14_nt9_0,20.610778443113773,9.577425149700598,2520.0
np14_nt9_0,28.59375,2.43765625,2880.0
np14_nt9_0,3.526315789473684,1.1105263157894738,3240.0
np14_nt9_0,17.11111111111111,6.832460317460318,3600.0
np14_nt9_1,0.0,0.0,360.0
np14_nt9_1,2.142857142857143,4.29,720.0
np14_nt9_1,0.0,0.0,1080.0
np14_nt9_1,0.0,0.0,1440.0
np14_nt9_1,14.121212121212121,4.7293939393939395,1800.0
np14_nt9_1,0.0,0.0,2160.0
np14_nt9_1,0.0,0.0,2520.0
np14_nt9_1,0.0,0.0,2880.0
np14_nt9_1,0.25,1.8775,3240.0
np14_nt9_1,0.0,0.0,3600.0
np15_nt5_0,0.0,0.0,360.0
np15_nt5_0,19.471153846153847,10.44826923076923,720.0
np15_nt5_0,15.80794701986755,22.37185430463576,1080.0
np15_nt5_0,5.583333333333333,13.042916666666665,1440.0
np15_nt5_0,0.7,1.7920000000000003,1800.0
np15_nt5_0,19.368,8.71312,2160.0
np15_nt5_0,14.432835820895523,4.242537313432836,2520.0
np15_nt5_0,10.941747572815533,10.4426213592233,2880.0
np15_nt5_0,13.046511627906977,20.485697674418603,3240.0
np15_nt5_0,10.153846153846153,15.41875,3600.0
np15_nt5_1,0.0,0.0,360.0
np15_nt5_1,6.25,2.3232142857142857,720.0
np15_nt5_1,3.466666666666667,11.921333333333333,1080.0
np15_nt5_1,18.91780821917808,5.672328767123288,1440.0
np15_nt5_1,39.0,6.0,1800.0
np15_nt5_1,0.0,0.0,2160.0
np15_nt5_1,0.0,0.0,2520.0
np15_nt5_1,2.9285714285714284,4.332857142857143,2880.0
np15_nt5_1,0.0,0.0,3240.0
np15_nt5_1,1.0,45.47,3600.0
np16_nt1_0,4.266666666666667,3.168,360.0
np16_nt1_0,3.642857142857143,5.577142857142857,720.0
np16_nt1_0,11.7,2.7763333333333335,1080.0
np16_nt1_0,0.6,1.286,1440.0
np16_nt1_0,18.83132530120482,4.385180722891566,1800.0
np16_nt1_0,3.5,2.0124999999999997,2160.0
np16_nt1_0,0.0,0.0,2520.0
np16_nt1_0,7.407407407407407,3.1411111111111114,2880.0
np16_nt1_0,13.676470588235293,2.2941176470588234,3240.0
np16_nt1_0,2.8,3.571,3600.0
np16_nt1_1,0.0,0.0,360.0
np16_nt1_1,0.0,0.0,720.0
np16_nt1_1,0.0,0.0,1080.0
np16_nt1_1,0.0,0.0,1440.0
